REF	COMMENT	DESCRIPTION
D3518	ExhaustFanContr	
D3520	SupplyAirFlow,m	
D3522	ExhaustAirFlow,	
D3524	RotorControlOut	
D3526	WaterHeaterCont	
D3528	ElectricHeaterO	
D3530	WaterCoolerCont	
D3532	ElectricCoolerO	
D3533	Air Quality Inpu	
D3534	AHUCurrentOpera	
D3535	AirQualityInput	
D3537	SupplyPressureI	
D3539	ExhaustPressure	
D3540	Set Fan Intensit	
D3541	AHUSetOperating	
D3542	SetFanInten(1,2	
D3543	TemperatureSetP	
D3544	Regulation Mode	
D3545	ControlMode(0-M	
D3546	RegulationMode(	
D3547	CurrentFanInten	
D3548	CurrentFanInten	
D3549	CurrentSupplyAi	
D3550	RoomSetPoint,?C	
D3551	RoomSetPoint,?C	
D3552	ActualYear	
D3553	ActualYear	
D3554	Month&Day,Ex.,0	
D3555	Hours&Minutes,E	
D3556	Seconds&Weekday	
D3557	8DigitalInputso	
D3558	8DigitalOutputs	
D3559	"UnitStopCode:	
D3560	Start/Stop(0-ST	
D3561	SupplyAirSP*100	
D3562	ControlMode(0-M	
D3563	SeasonMode(0-Su	
D3564	WeeklyFiltersCh	
D3565	RegulationMode(	
D3566	RoomAirSP*100(1	
D3567	OperationofReci	
D3568	StartTimeofAirR	
D3569	StopTimeofAirRe	
D3570	StartTimeofN1Su	
D3571	StopTimeofN1Sun	
D3572	StartTimeofN2Su	
D3573	StopTimeofN2Sun	
D3574	StartTimeofN3Su	
D3575	StopTimeofN3Sun	
D3576	StartTimeofN1Mo	
D3577	StopTimeofN1Mon	
D3578	StartTimeofN2Mo	
D3579	StopTimeofN2Mon	
D3580	StartTimeofN3Mo	
D3581	StopTimeofN3Mon	
D3582	StartTimeofN1Tu	
D3583	StopTimeofN1Tue	
D3584	StartTimeofN2Tu	
D3585	StopTimeofN2Tue	
D3586	StartTimeofN3Tu	
D3587	StopTimeofN3Tue	
D3588	StartTimeofN1We	
D3589	StopTimeofN1Wed	
D3590	StartTimeofN2We	
D3591	StopTimeofN2Wed	
D3592	StartTimeofN3We	
D3593	StopTimeofN3Wed	
D3594	StartTimeofN1Th	
D3595	StopTimeofN1Thu	
D3596	StartTimeofN2Th	
D3597	StopTimeofN2Thu	
D3598	StartTimeofN3Th	
D3599	StopTimeofN3Thu	
D3600	StartTimeofN1Fr	
D3601	StopTimeofN1Fri	
D3602	StartTimeofN2Fr	
D3603	StopTimeofN2Fri	
D3604	StartTimeofN3Fr	
D3605	StopTimeofN3Fri	
D3606	StartTimeofN1Sa	
D3607	StopTimeofN1Sat	
D3608	StartTimeofN2Sa	
D3609	StopTimeofN2Sat	
D3610	StartTimeofN3Sa	
D3611	StopTimeofN3Sat	
D3612	IntenLevfN1Sund	
D3613	IntenLevfN2Sund	
D3614	IntenLevfN3Sund	
D3615	IntenLevfN1Mond	
D3616	IntenLevfN2Mond	
D3617	IntenLevfN3Mond	
D3618	IntenLevfN1Tues	
D3619	IntenLevfN2Tues	
D3620	IntenLevfN3Tues	
D3621	IntenLevfN1Wedn	
D3622	IntenLevfN2Wedn	
D3623	IntenLevfN3Wedn	
D3624	IntenLevfN1Thur	
D3625	IntenLevfN2Thur	
D3626	IntenLevfN3Thur	
D3627	IntenLevfN1Frid	
D3628	IntenLevfN2Frid	
D3629	IntenLevfN3Frid	
D3630	IntenLevfN1Satu	
D3631	IntenLevfN2Satu	
D3632	IntenLevfN3Satu	
D3633	Temperaturecorr	
D3634	StartTimeofTemp	
D3635	StopTimeofTempe	
D3636	ModbusSlaveAddr	
D3637	AirQualityFunct	
D3638	SetPointforAirQ	
D3639	SetFanOperation	
D3640	1LevAdjofSupply	
D3641	2LevAdjofSupply	
D3642	3LevAdjofSupply	
D3643	1LevAdjofExhaus	
D3644	2LevAdjofExhaus	
D3645	3LevAdjofExhaus	
D3646	ExhaustAirFlowC	
D3647	ExhaustCorrecti	
D3648	OperationTimeof	
D3649	FlowControlMode	
D3650	OVRFunctionActi	
D3651	OVRIntenforSupp	
D3652	OVRIntenforExha	
D3800	T1 TEMP	
D3801	T1	
D3805	T2 TEMP	
D3806	T2	
D3952	Daylight saving 	
"	
